iter	Passed	Remaining
0	137	136938
1	140	70146
2	143	47665
3	146	36452
4	150	29955
5	153	25459
6	156	22217
7	159	19820
8	163	17972
9	166	16458
10	169	15233
11	172	14185
12	175	13311
13	178	12543
14	181	11945
15	184	11375
16	188	10875
17	190	10412
18	194	10035
19	197	9676
20	200	9365
21	203	9060
22	207	8799
23	210	8540
24	213	8319
25	216	8105
26	219	7916
27	222	7725
28	225	7556
29	228	7390
30	231	7239
31	234	7094
32	237	6957
33	240	6832
34	243	6713
35	246	6612
36	249	6505
37	253	6408
38	256	6311
39	259	6224
40	262	6137
41	265	6061
42	268	5980
43	272	5911
44	275	5845
45	278	5779
46	281	5713
47	285	5656
48	288	5594
49	291	5547
50	295	5493
51	298	5445
52	302	5401
53	305	5351
54	308	5306
55	312	5260
56	315	5219
57	318	5177
58	321	5135
59	325	5105
60	329	5078
61	333	5050
62	337	5019
63	341	4990
64	344	4957
65	347	4922
66	351	4888
67	354	4858
68	357	4825
69	360	4792
70	363	4761
71	367	4731
72	370	4702
73	373	4674
74	376	4646
75	379	4618
76	383	4599
77	387	4577
78	390	4552
79	394	4535
80	398	4517
81	401	4498
82	404	4474
83	408	4454
84	411	4432
85	415	4416
86	418	4395
87	422	4374
88	425	4354
89	428	4333
90	431	4313
91	435	4294
92	438	4278
93	441	4259
94	445	4242
95	448	4225
96	452	4215
97	455	4195
98	459	4181
99	463	4169
100	468	4168
101	473	4165
102	477	4155
103	480	4140
104	484	4126
105	487	4108
106	490	4095
107	493	4078
108	497	4064
109	500	4047
110	503	4033
111	506	4018
112	510	4006
113	513	3991
114	516	3977
115	519	3962
116	523	3951
117	526	3937
118	530	3925
119	533	3911
120	537	3902
121	540	3892
122	544	3885
123	548	3872
124	551	3860
125	554	3849
126	558	3838
127	561	3827
128	565	3815
129	568	3805
130	572	3794
131	575	3784
132	578	3773
133	582	3764
134	585	3754
135	589	3745
136	592	3733
137	596	3723
138	599	3711
139	603	3705
140	606	3696
141	610	3685
142	613	3675
143	616	3666
144	622	3667
145	625	3659
146	629	3650
147	632	3640
148	635	3630
149	640	3629
150	644	3621
151	647	3614
152	651	3606
153	655	3600
154	659	3593
155	662	3584
156	665	3575
157	669	3567
158	672	3559
159	676	3550
160	680	3544
161	683	3535
162	687	3528
163	690	3518
164	694	3513
165	697	3504
166	700	3496
167	704	3488
168	707	3480
169	711	3473
170	714	3465
171	718	3459
172	722	3451
173	725	3445
174	729	3437
175	740	3465
176	743	3458
177	747	3450
178	750	3443
179	755	3439
180	758	3432
181	762	3425
182	765	3418
183	768	3409
184	772	3402
185	775	3394
186	779	3388
187	782	3380
188	785	3372
189	789	3365
190	793	3359
191	797	3355
192	800	3346
193	803	3339
194	807	3331
195	810	3325
196	813	3316
197	817	3309
198	820	3301
199	823	3295
200	827	3287
201	830	3280
202	833	3272
203	836	3265
204	840	3257
205	843	3250
206	846	3243
207	849	3235
208	853	3229
209	856	3223
210	860	3215
211	863	3208
212	866	3202
213	870	3195
214	873	3190
215	877	3184
216	880	3178
217	884	3171
218	887	3166
219	891	3159
220	894	3153
221	898	3147
222	901	3141
223	904	3134
224	908	3128
225	911	3123
226	915	3116
227	918	3110
228	921	3103
229	925	3099
230	928	3092
231	933	3090
232	937	3085
233	943	3087
234	946	3082
235	949	3075
236	954	3072
237	957	3066
238	961	3060
239	964	3054
240	968	3048
241	971	3042
242	974	3037
243	978	3032
244	981	3026
245	986	3022
246	989	3017
247	993	3011
248	997	3007
249	1001	3003
250	1005	3000
251	1009	2995
252	1012	2989
253	1015	2983
254	1019	2977
255	1022	2972
256	1026	2966
257	1029	2961
258	1033	2956
259	1036	2951
260	1040	2944
261	1043	2940
262	1047	2935
263	1051	2931
264	1054	2925
265	1058	2921
266	1062	2916
267	1065	2911
268	1069	2906
269	1073	2901
270	1077	2897
271	1080	2892
272	1084	2888
273	1088	2883
274	1092	2879
275	1096	2877
276	1100	2872
277	1104	2868
278	1109	2868
279	1113	2863
280	1117	2859
281	1121	2854
282	1124	2850
283	1128	2845
284	1132	2842
285	1136	2838
286	1140	2833
287	1144	2829
288	1147	2824
289	1151	2819
290	1155	2814
291	1158	2809
292	1162	2804
293	1165	2799
294	1169	2794
295	1172	2789
296	1176	2784
297	1179	2779
298	1183	2774
299	1187	2769
300	1190	2764
301	1194	2760
302	1197	2755
303	1201	2751
304	1205	2746
305	1209	2742
306	1212	2737
307	1216	2733
308	1220	2728
309	1223	2723
310	1227	2718
311	1230	2713
312	1234	2709
313	1237	2704
314	1241	2699
315	1245	2694
316	1248	2689
317	1252	2686
318	1255	2680
319	1259	2676
320	1262	2670
321	1266	2665
322	1269	2661
323	1273	2656
324	1276	2651
325	1280	2647
326	1284	2643
327	1287	2637
328	1291	2633
329	1294	2627
330	1297	2622
331	1300	2617
332	1304	2612
333	1307	2607
334	1311	2603
335	1315	2599
336	1318	2594
337	1322	2590
338	1326	2585
339	1330	2582
340	1333	2576
341	1336	2572
342	1340	2567
343	1343	2562
344	1347	2558
345	1350	2553
346	1354	2549
347	1358	2544
348	1361	2539
349	1364	2534
350	1368	2530
351	1371	2525
352	1375	2520
353	1378	2515
354	1382	2511
355	1385	2506
356	1388	2501
357	1391	2496
358	1395	2491
359	1398	2486
360	1402	2481
361	1405	2477
362	1409	2472
363	1412	2468
364	1416	2463
365	1419	2459
366	1422	2454
367	1426	2449
368	1429	2444
369	1433	2440
370	1436	2435
371	1440	2431
372	1443	2426
373	1446	2421
374	1450	2417
375	1453	2412
376	1457	2407
377	1460	2403
378	1464	2398
379	1467	2393
380	1470	2389
381	1474	2385
382	1478	2381
383	1481	2377
384	1485	2372
385	1488	2367
386	1491	2363
387	1495	2358
388	1498	2353
389	1502	2349
390	1505	2345
391	1508	2340
392	1512	2335
393	1516	2332
394	1519	2328
395	1523	2323
396	1526	2319
397	1530	2315
398	1535	2312
399	1538	2307
400	1542	2303
401	1545	2299
402	1549	2294
403	1552	2290
404	1555	2285
405	1559	2281
406	1563	2277
407	1567	2274
408	1571	2270
409	1575	2267
410	1580	2264
411	1583	2260
412	1587	2256
413	1591	2252
414	1595	2248
415	1598	2244
416	1602	2240
417	1606	2236
418	1610	2232
419	1614	2229
420	1618	2225
421	1621	2221
422	1625	2217
423	1629	2213
424	1633	2209
425	1636	2205
426	1640	2201
427	1643	2196
428	1647	2192
429	1650	2188
430	1654	2184
431	1657	2179
432	1661	2175
433	1665	2171
434	1668	2167
435	1672	2163
436	1675	2158
437	1679	2154
438	1682	2150
439	1686	2145
440	1689	2141
441	1693	2137
442	1696	2132
443	1699	2128
444	1703	2124
445	1706	2119
446	1709	2114
447	1713	2110
448	1716	2106
449	1720	2102
450	1723	2098
451	1726	2093
452	1730	2089
453	1734	2085
454	1737	2081
455	1740	2076
456	1744	2072
457	1747	2068
458	1751	2064
459	1754	2059
460	1757	2055
461	1761	2050
462	1764	2047
463	1768	2042
464	1771	2038
465	1775	2034
466	1779	2030
467	1783	2026
468	1786	2022
469	1790	2018
470	1793	2014
471	1797	2010
472	1801	2006
473	1804	2002
474	1808	1999
475	1812	1995
476	1816	1991
477	1819	1987
478	1823	1983
479	1826	1979
480	1830	1975
481	1834	1971
482	1837	1966
483	1841	1962
484	1844	1958
485	1848	1954
486	1851	1950
487	1855	1946
488	1858	1942
489	1862	1938
490	1865	1934
491	1869	1930
492	1873	1926
493	1876	1921
494	1879	1917
495	1883	1913
496	1886	1909
497	1889	1904
498	1893	1900
499	1896	1896
500	1900	1892
501	1903	1888
502	1906	1884
503	1910	1880
504	1914	1876
505	1917	1872
506	1921	1867
507	1924	1863
508	1928	1860
509	1932	1856
510	1935	1852
511	1939	1848
512	1942	1844
513	1946	1840
514	1949	1836
515	1953	1832
516	1957	1829
517	1961	1825
518	1964	1821
519	1968	1816
520	1971	1813
521	1975	1808
522	1978	1804
523	1982	1800
524	1985	1796
525	1988	1792
526	1992	1788
527	1995	1784
528	1999	1779
529	2002	1775
530	2005	1771
531	2008	1767
532	2012	1763
533	2015	1759
534	2019	1754
535	2022	1751
536	2026	1746
537	2029	1742
538	2033	1739
539	2036	1735
540	2040	1731
541	2043	1727
542	2047	1723
543	2051	1719
544	2054	1715
545	2057	1711
546	2061	1706
547	2064	1702
548	2067	1698
549	2071	1694
550	2074	1690
551	2078	1686
552	2081	1682
553	2084	1678
554	2088	1674
555	2092	1670
556	2095	1666
557	2098	1662
558	2103	1659
559	2106	1655
560	2110	1651
561	2113	1647
562	2117	1643
563	2121	1640
564	2125	1636
565	2128	1632
566	2132	1628
567	2135	1624
568	2138	1620
569	2142	1616
570	2145	1612
571	2149	1608
572	2152	1604
573	2156	1600
574	2159	1596
575	2162	1592
576	2166	1588
577	2169	1583
578	2172	1579
579	2176	1575
580	2179	1571
581	2182	1567
582	2186	1564
583	2190	1560
584	2194	1556
585	2197	1552
586	2201	1548
587	2205	1545
588	2208	1541
589	2212	1537
590	2215	1533
591	2219	1529
592	2222	1525
593	2226	1521
594	2229	1517
595	2233	1513
596	2236	1509
597	2239	1505
598	2243	1501
599	2246	1497
600	2250	1493
601	2253	1489
602	2256	1485
603	2259	1481
604	2263	1478
605	2267	1473
606	2270	1470
607	2273	1466
608	2277	1462
609	2280	1458
610	2284	1454
611	2287	1450
612	2291	1446
613	2294	1442
614	2298	1438
615	2302	1435
616	2305	1431
617	2309	1427
618	2313	1423
619	2317	1420
620	2321	1416
621	2325	1412
622	2329	1409
623	2332	1405
624	2337	1402
625	2341	1398
626	2344	1394
627	2348	1391
628	2352	1387
629	2357	1384
630	2360	1380
631	2364	1376
632	2368	1372
633	2371	1368
634	2374	1365
635	2378	1361
636	2382	1357
637	2385	1353
638	2389	1349
639	2392	1345
640	2396	1342
641	2399	1338
642	2403	1334
643	2406	1330
644	2409	1326
645	2412	1322
646	2416	1318
647	2419	1314
648	2422	1310
649	2426	1306
650	2429	1302
651	2433	1298
652	2436	1294
653	2439	1290
654	2443	1286
655	2446	1283
656	2449	1279
657	2453	1275
658	2457	1271
659	2461	1267
660	2464	1263
661	2468	1260
662	2471	1256
663	2475	1252
664	2478	1248
665	2481	1244
666	2485	1240
667	2489	1237
668	2492	1233
669	2496	1229
670	2499	1225
671	2503	1222
672	2507	1218
673	2510	1214
674	2514	1210
675	2518	1207
676	2521	1203
677	2525	1199
678	2529	1195
679	2532	1191
680	2535	1187
681	2539	1184
682	2542	1180
683	2546	1176
684	2549	1172
685	2553	1168
686	2556	1164
687	2560	1161
688	2563	1157
689	2567	1153
690	2570	1149
691	2574	1145
692	2577	1142
693	2581	1138
694	2584	1134
695	2588	1130
696	2591	1126
697	2595	1122
698	2598	1119
699	2602	1115
700	2606	1111
701	2609	1107
702	2613	1104
703	2617	1100
704	2620	1096
705	2624	1092
706	2628	1089
707	2631	1085
708	2635	1081
709	2638	1077
710	2642	1074
711	2646	1070
712	2650	1066
713	2654	1063
714	2657	1059
715	2661	1055
716	2665	1051
717	2669	1048
718	2672	1044
719	2676	1040
720	2680	1037
721	2683	1033
722	2687	1029
723	2691	1026
724	2695	1022
725	2699	1018
726	2703	1015
727	2707	1011
728	2710	1007
729	2714	1004
730	2719	1000
731	2722	996
732	2726	993
733	2729	989
734	2733	985
735	2736	981
736	2740	977
737	2743	974
738	2747	970
739	2750	966
740	2754	962
741	2757	958
742	2761	955
743	2764	951
744	2767	947
745	2771	943
746	2775	939
747	2779	936
748	2782	932
749	2786	928
750	2789	925
751	2793	921
752	2797	917
753	2800	913
754	2804	909
755	2807	906
756	2811	902
757	2814	898
758	2819	895
759	2822	891
760	2826	887
761	2830	884
762	2833	880
763	2837	876
764	2840	872
765	2844	868
